identification_id,organism_id,identification_type,taxon_formula,verbatim_identification,type_status,identified_by,identified_by_id,date_identified,identification_references,identification_verification_status,identification_remarks,type_designation_type,type_designated_by
ind_60_1.01_L373,org_point_60_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_61_1.01_L373,org_point_61_1.01_L373,human,37390005.0,nebulosa,,,,,,,,,
ind_62_1.01_L373,org_point_62_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_63_1.01_L373,org_point_63_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_64_1.01_L373,org_point_64_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_65_1.01_L373,org_point_65_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_66_1.01_L373,org_point_66_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_67_1.01_L373,org_point_67_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_68_1.01_L373,org_point_68_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_69_1.01_L373,org_point_69_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_70_1.01_L373,org_point_70_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_71_1.01_L373,org_point_71_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_72_1.01_L373,org_point_72_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_73_1.01_L373,org_point_73_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_74_1.01_L373,org_point_74_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_75_1.01_L373,org_point_75_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_76_1.01_L373,org_point_76_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_77_1.01_L373,org_point_77_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_78_1.01_L373,org_point_78_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_79_1.01_L373,org_point_79_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_80_1.01_L373,org_point_80_1.01_L373,human,37337011.0,chrysophrys,,,,,,,,,
ind_81_1.01_L373,org_point_81_1.01_L373,human,37337011.0,chrysophrys,,,,,,,,,
ind_82_1.01_L373,org_point_82_1.01_L373,human,37353006.0,spinifer,,,,,,,,,
ind_83_1.01_L373,org_point_83_1.01_L373,human,37353006.0,spinifer,,,,,,,,,
ind_84_1.01_L373,org_point_84_1.01_L373,human,NaN,spp,,,,,,,,,
ind_85_1.01_L373,org_point_85_1.01_L373,human,NaN,spp,,,,,,,,,
ind_86_1.01_L373,org_point_86_1.01_L373,human,NaN,spp,,,,,,,,,
ind_87_1.01_L373,org_point_87_1.01_L373,human,NaN,spp,,,,,,,,,
ind_88_1.01_L373,org_point_88_1.01_L373,human,NaN,spp,,,,,,,,,
ind_89_1.01_L373,org_point_89_1.01_L373,human,NaN,sp10,,,,,,,,,
ind_90_1.01_L373,org_point_90_1.01_L373,human,37337012.0,speciosus,,,,,,,,,
ind_91_1.01_L373,org_point_91_1.01_L373,human,37337012.0,speciosus,,,,,,,,,
ind_92_1.01_L373,org_point_92_1.01_L373,human,37337012.0,speciosus,,,,,,,,,
ind_93_1.01_L373,org_point_93_1.01_L373,human,37118001.0,undosquamis,,,,,,,,,
ind_94_1.01_L373,org_point_94_1.01_L373,human,37465011.0,stellatus,,,,,,,,,
ind_95_1.01_L373,org_point_95_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_96_1.01_L373,org_point_96_1.01_L373,human,37467007.0,sceleratus,,,,,,,,,
ind_97_1.01_L373,org_point_97_1.01_L373,human,37467007.0,sceleratus,,,,,,,,,
ind_98_1.01_L373,org_point_98_1.01_L373,human,37467007.0,sceleratus,,,,,,,,,
ind_99_1.01_L373,org_point_99_1.01_L373,human,37467007.0,sceleratus,,,,,,,,,
ind_100_1.01_L373,org_point_100_1.01_L373,human,37467007.0,sceleratus,,,,,,,,,
ind_101_1.01_L373,org_point_101_1.01_L373,human,37467007.0,sceleratus,,,,,,,,,
ind_102_1.01_L373,org_point_102_1.01_L373,human,37353006.0,spinifer,,,,,,,,,
ind_103_1.01_L373,org_point_103_1.01_L373,human,37118001.0,undosquamis,,,,,,,,,
ind_104_1.01_L373,org_point_104_1.01_L373,human,37118001.0,undosquamis,,,,,,,,,
ind_0_1.02_L369,org_point_0_1.02_L369,human,37435004.0,monostigma,,,,,,,,,
ind_1_1.02_L369,org_point_1_1.02_L369,human,37346002.0,multidens,,,,,,,,,
ind_2_1.02_L369,org_point_2_1.02_L369,human,37346002.0,multidens,,,,,,,,,
ind_3_1.02_L369,org_point_3_1.02_L369,human,37351005.0,grandoculis,,,,,,,,,
ind_4_1.02_L369,org_point_4_1.02_L369,human,37118001.0,undosquamis,,,,,,,,,
ind_5_1.02_L369,org_point_5_1.02_L369,human,37118001.0,undosquamis,,,,,,,,,
ind_6_1.02_L369,org_point_6_1.02_L369,human,37118001.0,undosquamis,,,,,,,,,
ind_7_1.02_L369,org_point_7_1.02_L369,human,37346002.0,multidens,,,,,,,,,
ind_8_1.02_L369,org_point_8_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_9_1.02_L369,org_point_9_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_10_1.02_L369,org_point_10_1.02_L369,human,37346002.0,multidens,,,,,,,,,
ind_11_1.02_L369,org_point_11_1.02_L369,human,37346002.0,multidens,,,,,,,,,
ind_12_1.02_L369,org_point_12_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_13_1.02_L369,org_point_13_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_14_1.02_L369,org_point_14_1.02_L369,human,37346002.0,multidens,,,,,,,,,
ind_15_1.02_L369,org_point_15_1.02_L369,human,37346002.0,multidens,,,,,,,,,
ind_16_1.02_L369,org_point_16_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_17_1.02_L369,org_point_17_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_18_1.02_L369,org_point_18_1.02_L369,human,37346002.0,multidens,,,,,,,,,
ind_19_1.02_L369,org_point_19_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_20_1.02_L369,org_point_20_1.02_L369,human,37346002.0,multidens,,,,,,,,,
ind_21_1.02_L369,org_point_21_1.02_L369,human,37351005.0,grandoculis,,,,,,,,,
ind_22_1.02_L369,org_point_22_1.02_L369,human,37346002.0,multidens,,,,,,,,,
ind_23_1.02_L369,org_point_23_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_24_1.02_L369,org_point_24_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_25_1.02_L369,org_point_25_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_26_1.02_L369,org_point_26_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_27_1.02_L369,org_point_27_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_28_1.02_L369,org_point_28_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_29_1.02_L369,org_point_29_1.02_L369,human,37351005.0,grandoculis,,,,,,,,,
ind_30_1.02_L369,org_point_30_1.02_L369,human,37351005.0,grandoculis,,,,,,,,,
ind_31_1.02_L369,org_point_31_1.02_L369,human,37351005.0,grandoculis,,,,,,,,,
ind_32_1.02_L369,org_point_32_1.02_L369,human,37337011.0,chrysophrys,,,,,,,,,
ind_33_1.02_L369,org_point_33_1.02_L369,human,37337011.0,chrysophrys,,,,,,,,,
ind_34_1.02_L369,org_point_34_1.02_L369,human,37337011.0,chrysophrys,,,,,,,,,
ind_35_1.02_L369,org_point_35_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_36_1.02_L369,org_point_36_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_37_1.02_L369,org_point_37_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_38_1.02_L369,org_point_38_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_39_1.02_L369,org_point_39_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_40_1.02_L369,org_point_40_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_41_1.02_L369,org_point_41_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_42_1.02_L369,org_point_42_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_43_1.02_L369,org_point_43_1.02_L369,human,37337011.0,chrysophrys,,,,,,,,,
ind_44_1.02_L369,org_point_44_1.02_L369,human,37337011.0,chrysophrys,,,,,,,,,
ind_45_1.02_L369,org_point_45_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_46_1.02_L369,org_point_46_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_47_1.02_L369,org_point_47_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_48_1.02_L369,org_point_48_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_49_1.02_L369,org_point_49_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_50_1.02_L369,org_point_50_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_51_1.02_L369,org_point_51_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_52_1.02_L369,org_point_52_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_53_1.02_L369,org_point_53_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_54_1.02_L369,org_point_54_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_55_1.02_L369,org_point_55_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_56_1.02_L369,org_point_56_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_57_1.02_L369,org_point_57_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_58_1.02_L369,org_point_58_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_59_1.02_L369,org_point_59_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_60_1.02_L369,org_point_60_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_61_1.02_L369,org_point_61_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_62_1.02_L369,org_point_62_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_63_1.02_L369,org_point_63_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_64_1.02_L369,org_point_64_1.02_L369,human,37346002.0,multidens,,,,,,,,,
ind_65_1.02_L369,org_point_65_1.02_L369,human,37346002.0,multidens,,,,,,,,,
ind_66_1.02_L369,org_point_66_1.02_L369,human,37346002.0,multidens,,,,,,,,,
ind_67_1.02_L369,org_point_67_1.02_L369,human,37346002.0,multidens,,,,,,,,,
ind_68_1.02_L369,org_point_68_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_69_1.02_L369,org_point_69_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_70_1.02_L369,org_point_70_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_71_1.02_L369,org_point_71_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_72_1.02_L369,org_point_72_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_73_1.02_L369,org_point_73_1.02_L369,human,37353006.0,spinifer,,,,,,,,,
ind_74_1.02_L369,org_point_74_1.02_L369,human,37346002.0,multidens,,,,,,,,,
ind_75_1.02_L369,org_point_75_1.02_L369,human,37346002.0,multidens,,,,,,,,,
ind_76_1.02_L369,org_point_76_1.02_L369,human,37346002.0,multidens,,,,,,,,,
ind_77_1.02_L369,org_point_77_1.02_L369,human,37337011.0,chrysophrys,,,,,,,,,
ind_78_1.02_L369,org_point_78_1.02_L369,human,37337011.0,chrysophrys,,,,,,,,,
ind_79_1.02_L369,org_point_79_1.02_L369,human,37337011.0,chrysophrys,,,,,,,,,
ind_0_1.03_L367,org_point_0_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_1_1.03_L367,org_point_1_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_2_1.03_L367,org_point_2_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_3_1.03_L367,org_point_3_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_4_1.03_L367,org_point_4_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_5_1.03_L367,org_point_5_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_6_1.03_L367,org_point_6_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_7_1.03_L367,org_point_7_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_8_1.03_L367,org_point_8_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_9_1.03_L367,org_point_9_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_10_1.03_L367,org_point_10_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_11_1.03_L367,org_point_11_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_12_1.03_L367,org_point_12_1.03_L367,human,37351009.0,miniatus,,,,,,,,,
ind_13_1.03_L367,org_point_13_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_14_1.03_L367,org_point_14_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_15_1.03_L367,org_point_15_1.03_L367,human,37351009.0,miniatus,,,,,,,,,
ind_16_1.03_L367,org_point_16_1.03_L367,human,37351009.0,miniatus,,,,,,,,,
ind_17_1.03_L367,org_point_17_1.03_L367,human,37351009.0,miniatus,,,,,,,,,
ind_18_1.03_L367,org_point_18_1.03_L367,human,37351009.0,miniatus,,,,,,,,,
ind_19_1.03_L367,org_point_19_1.03_L367,human,37351009.0,miniatus,,,,,,,,,
ind_20_1.03_L367,org_point_20_1.03_L367,human,37336001.0,naucrates,,,,,,,,,
ind_21_1.03_L367,org_point_21_1.03_L367,human,37351009.0,miniatus,,,,,,,,,
ind_22_1.03_L367,org_point_22_1.03_L367,human,37346032.0,filamentosus,,,,,,,,,
ind_23_1.03_L367,org_point_23_1.03_L367,human,37346032.0,filamentosus,,,,,,,,,
ind_24_1.03_L367,org_point_24_1.03_L367,human,NaN,spp,,,,,,,,,
ind_25_1.03_L367,org_point_25_1.03_L367,human,NaN,spp,,,,,,,,,
ind_26_1.03_L367,org_point_26_1.03_L367,human,37351005.0,grandoculis,,,,,,,,,
ind_27_1.03_L367,org_point_27_1.03_L367,human,37390005.0,nebulosa,,,,,,,,,
ind_28_1.03_L367,org_point_28_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_29_1.03_L367,org_point_29_1.03_L367,human,37351012.0,rubrioperculatus,,,,,,,,,
ind_30_1.03_L367,org_point_30_1.03_L367,human,37351012.0,rubrioperculatus,,,,,,,,,
ind_31_1.03_L367,org_point_31_1.03_L367,human,37355015.0,spilurus,,,,,,,,,
ind_32_1.03_L367,org_point_32_1.03_L367,human,37351005.0,grandoculis,,,,,,,,,
ind_33_1.03_L367,org_point_33_1.03_L367,human,37337011.0,chrysophrys,,,,,,,,,
ind_34_1.03_L367,org_point_34_1.03_L367,human,37118001.0,undosquamis,,,,,,,,,
ind_35_1.03_L367,org_point_35_1.03_L367,human,37337025.0,dumerili,,,,,,,,,
ind_36_1.03_L367,org_point_36_1.03_L367,human,37337052.0,rivoliana,,,,,,,,,
ind_37_1.03_L367,org_point_37_1.03_L367,human,37337052.0,rivoliana,,,,,,,,,
ind_38_1.03_L367,org_point_38_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_39_1.03_L367,org_point_39_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_40_1.03_L367,org_point_40_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_41_1.03_L367,org_point_41_1.03_L367,human,37346002.0,multidens,,,,,,,,,
ind_42_1.03_L367,org_point_42_1.03_L367,human,37351012.0,rubrioperculatus,,,,,,,,,
ind_43_1.03_L367,org_point_43_1.03_L367,human,37465089.0,filamentosus,,,,,,,,,
ind_0_1.04_L375,org_point_0_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_1_1.04_L375,org_point_1_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_2_1.04_L375,org_point_2_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_3_1.04_L375,org_point_3_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_4_1.04_L375,org_point_4_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_5_1.04_L375,org_point_5_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_6_1.04_L375,org_point_6_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_7_1.04_L375,org_point_7_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_8_1.04_L375,org_point_8_1.04_L375,human,37351012.0,rubrioperculatus,,,,,,,,,
ind_9_1.04_L375,org_point_9_1.04_L375,human,37351012.0,rubrioperculatus,,,,,,,,,
ind_10_1.04_L375,org_point_10_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_11_1.04_L375,org_point_11_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_12_1.04_L375,org_point_12_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_13_1.04_L375,org_point_13_1.04_L375,human,37311009.0,areolatus,,,,,,,,,
ind_14_1.04_L375,org_point_14_1.04_L375,human,37351005.0,grandoculis,,,,,,,,,
ind_15_1.04_L375,org_point_15_1.04_L375,human,37311009.0,areolatus,,,,,,,,,
ind_16_1.04_L375,org_point_16_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_17_1.04_L375,org_point_17_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_18_1.04_L375,org_point_18_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_19_1.04_L375,org_point_19_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_20_1.04_L375,org_point_20_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_21_1.04_L375,org_point_21_1.04_L375,human,37351012.0,rubrioperculatus,,,,,,,,,
ind_22_1.04_L375,org_point_22_1.04_L375,human,37351012.0,rubrioperculatus,,,,,,,,,
ind_23_1.04_L375,org_point_23_1.04_L375,human,37351012.0,rubrioperculatus,,,,,,,,,
ind_24_1.04_L375,org_point_24_1.04_L375,human,37351005.0,grandoculis,,,,,,,,,
ind_25_1.04_L375,org_point_25_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_26_1.04_L375,org_point_26_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_27_1.04_L375,org_point_27_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_28_1.04_L375,org_point_28_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_29_1.04_L375,org_point_29_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_30_1.04_L375,org_point_30_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_31_1.04_L375,org_point_31_1.04_L375,human,37465089.0,filamentosus,,,,,,,,,
ind_32_1.04_L375,org_point_32_1.04_L375,human,37351012.0,rubrioperculatus,,,,,,,,,
ind_33_1.04_L375,org_point_33_1.04_L375,human,37351012.0,rubrioperculatus,,,,,,,,,
ind_34_1.04_L375,org_point_34_1.04_L375,human,37337011.0,chrysophrys,,,,,,,,,
ind_35_1.04_L375,org_point_35_1.04_L375,human,37351009.0,miniatus,,,,,,,,,
ind_36_1.04_L375,org_point_36_1.04_L375,human,37351009.0,miniatus,,,,,,,,,
ind_37_1.04_L375,org_point_37_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_38_1.04_L375,org_point_38_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_39_1.04_L375,org_point_39_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_40_1.04_L375,org_point_40_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_41_1.04_L375,org_point_41_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_42_1.04_L375,org_point_42_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_43_1.04_L375,org_point_43_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_44_1.04_L375,org_point_44_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_45_1.04_L375,org_point_45_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_46_1.04_L375,org_point_46_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_47_1.04_L375,org_point_47_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_48_1.04_L375,org_point_48_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_49_1.04_L375,org_point_49_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_50_1.04_L375,org_point_50_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_51_1.04_L375,org_point_51_1.04_L375,human,37346002.0,multidens,,,,,,,,,
ind_52_1.04_L375,org_point_52_1.04_L375,human,37017005.0,ravidus,,,,,,,,,
ind_53_1.04_L375,org_point_53_1.04_L375,human,37351012.0,rubrioperculatus,,,,,,,,,
ind_54_1.04_L375,org_point_54_1.04_L375,human,37351012.0,rubrioperculatus,,,,,,,,,
ind_55_1.04_L375,org_point_55_1.04_L375,human,37351012.0,rubrioperculatus,,,,,,,,,
ind_56_1.04_L375,org_point_56_1.04_L375,human,37384201.0,solatus,,,,,,,,,
ind_57_1.04_L375,org_point_57_1.04_L375,human,37384201.0,solatus,,,,,,,,,
ind_58_1.04_L375,org_point_58_1.04_L375,human,37311009.0,areolatus,,,,,,,,,
ind_59_1.04_L375,org_point_59_1.04_L375,human,37311009.0,areolatus,,,,,,,,,
